ExampleSat.UTCGregorian    ExampleSat.X              ExampleSat.Y              ExampleSat.Z              ExampleSat.VX             ExampleSat.VY             ExampleSat.VZ             
13 May 2002 13:23:35.696   -1164.477333661707        602.8034098725315         7055.116635296456         6.456596242239828         3.642317963300694         0.7526629030899262        
13 May 2002 13:25:15.696   -513.7284462926362        963.1513817069872         7092.319896010893         6.546745677440274         3.558198050859859         -0.009261294829483097     
13 May 2002 13:26:55.696   142.5298498874073         1313.170098414288         7053.267386826627         6.56668561876189          3.435917217238948         -0.7710951882172425       
13 May 2002 13:28:35.696   797.2595040981405         1649.105154115805         6938.375419478453         6.516196984525406         3.276774854632458         -1.524699851515155        
13 May 2002 13:30:15.696   1443.437613121912         1967.351640335814         6748.870782554023         6.395801901822951         3.082459223027035         -2.262017893664279        
13 May 2002 13:31:55.696   2074.13043515259          2264.49227194703          6486.77854562492          6.206760652743453         2.85503173255214          -2.975154352590797        
13 May 2002 13:33:35.696   2682.566791018169         2537.33377671146          6154.901789117626         5.9510623694359           2.596907879277691         -3.656457275431678        
13 May 2002 13:35:15.696   3262.210209653309         2782.941206635045         5756.793306790893         5.631409121041412         2.31083470089068          -4.298597631164769        
13 May 2002 13:36:55.696   3806.829136821647         2998.669816373807         5296.719371927385         5.251192968250078         1.999864616087327         -4.894648007757895        
13 May 2002 13:38:35.696   4310.564482358006         3182.194141497498         4779.615723972943         4.814465559303457         1.667325549862714         -5.438159320512527        
13 May 2002 13:40:15.696   4767.993739622185         3331.533902503599         4211.036022882517         4.325899914817834         1.31678732682963          -5.92323452980469         
13 May 2002 13:41:55.696   5174.190884741144         3445.076365100176         3597.093126860408         3.790744193444926         0.95202442793279          -6.344598168881806        
13 May 2002 13:43:35.696   5524.781249720208         3521.594802708975         2944.393680147607         3.214767445763558         0.5769753496402319        -6.697660330756745        
13 May 2002 13:45:15.696   5815.990578884755         3560.262739603818         2259.966636000257         2.604197628063361         0.1956989612992306        -6.978573690249596        
13 May 2002 13:46:55.696   6044.687519598835         3560.663700675374         1551.186483638073         1.965652445108202         -0.1876715839669068       -7.184282150024112        
13 May 2002 13:48:35.696   6208.418871108844         3522.796257132409         825.6920837742751         1.306063894084161         -0.5689766834034358       -7.31255980827371         
13 May 2002 13:50:15.696   6305.437016927314         3447.074234205931         91.30214071333522         0.6325976692409998        -0.9440790409244433       -7.362039146089196        
13 May 2002 13:51:55.696   6334.719096243199         3334.322033827452         -644.0715683934054        -0.04743117507872565      -1.308912442437582        -7.332227616025257        
13 May 2002 13:53:35.696   6295.977618428678         3185.765118042283         -1372.512018030589        -0.7266447249359603       -1.659529608755238        -7.223512157021483        
13 May 2002 13:55:15.696   6189.662388985046         3003.015792803222         -2086.184597611738        -1.397689198023209        -1.992148199847045        -7.037151543876056        
13 May 2002 13:56:55.696   6016.953783378326         2788.054521337542         -2777.423409705614        -2.053320745171691        -2.303194108115696        -6.775256870343564        
13 May 2002 13:58:35.696   5779.747570189932         2543.207077832831         -3438.815046477936        -2.686488461543019        -2.589341286603579        -6.440760836728699        
13 May 2002 14:00:15.696   5480.631636360858         2271.117919217233         -4063.278775574859        -3.290413174926638        -2.847547505634031        -6.037376835320768        
13 May 2002 14:01:55.696   5122.855099642473         1974.720205810887         -4644.142175786626        -3.858660807722211        -3.075085600296809        -5.569549080886359        
13 May 2002 14:03:35.696   4710.29039898863          1657.202935418653         -5175.211398755579        -4.385209392351273        -3.269569954054734        -5.042395198837951        
13 May 2002 14:05:15.696   4247.389029620525         1321.975671530658         -5650.83537801803         -4.86450912532857         -3.428978142111303        -4.461642753607161        
13 May 2002 14:06:55.696   3739.131636551842         972.6313465251619         -6065.963452441558        -5.291535148744263        -3.551667819172135        -3.833561176178328        
13 May 2002 14:08:35.696   3190.973194660597         612.9076036703851         -6416.196014061691        -5.66183303053245         -3.636389069882502        -3.164890434573698        
13 May 2002 14:10:15.696   2608.783996503752         246.6471166973595         -6697.827912668457        -5.971557145291496        -3.682292534006668        -2.462767610299782        
13 May 2002 14:11:55.696   1998.787138782998         -122.2427091790663        -6907.884455451228        -6.21750232902843         -3.688933670833608        -1.734652309225313        
13 May 2002 14:13:35.696   1367.493155869638         -489.8302878045203        -7044.149919339084        -6.397129277172263        -3.656273534616441        -0.9882515782586488       
13 May 2002 14:15:15.696   721.6324027853816         -852.2003215323034        -7105.188547362462        -6.508584174039345        -3.584676399180257        -0.2314447477207706       
13 May 2002 14:16:55.696   68.08574066176479         -1205.493889191554        -7090.358031844063        -6.550712989968829        -3.474904501619243        0.5277916092548787        
13 May 2002 14:18:35.696   -586.1859568184792        -1545.947872543293        -6999.815496686281        -6.523070765896897        -3.328110082020536        1.281458578338699         
13 May 2002 14:20:15.696   -1234.212983249736        -1869.933454683978        -6834.515988530605        -6.42592604553903         -3.145824790620681        2.021609751352785         
13 May 2002 14:21:55.696   -1869.088178915123        -2173.993425341227        -6596.203476710017        -6.260260430194259        -2.929946428646614        2.740426128865327         
13 May 2002 14:23:35.696   -2484.038011987227        -2454.878020397721        -6287.394353530385        -6.027763044635584        -2.682722897111105        3.430291132539208         
13 May 2002 14:25:15.696   -3072.492832482465        -2709.57900621297         -5911.353428385586        -5.730819538456228        -2.40673316183314         4.083865647958585         
13 May 2002 14:26:55.696   -3628.155729650608        -2935.361700087768        -5472.062425318228        -5.372495124644839        -2.104865009470793        4.694162828081768         
13 May 2002 14:28:35.696   -4145.069367364947        -3129.794594559966        -4974.181033758357        -4.956511096605128        -1.780289378544972        5.254622146048475         
13 May 2002 14:30:15.696   -4617.680118653719        -3290.776235007775        -4423.000625085179        -4.487214275104093        -1.43643109952168         5.759181931403792         
13 May 2002 14:31:55.696   -5040.898769711505        -3416.55898772126         -3824.390836147238        -3.969538924177497        -1.076935969386319        6.202349373890446         
13 May 2002 14:33:35.696   -5410.157024199459        -3505.769333868987        -3184.739334775557        -3.408960839487001        -0.7056342137093332       6.579266761802987         
13 May 2002 14:35:15.696   -5721.459022383689        -3557.424338201877        -2510.885210348785        -2.811443538876877        -0.3265005395838818       6.885772566950872         
13 May 2002 14:36:55.696   -5971.42709368547         -3570.943968942733        -1810.046578411316        -2.183376766136102        0.0563888494635784        7.118455905764171         
13 May 2002 14:38:35.696   -6157.340998648128        -3546.158990944393        -1089.743133242044        -1.531507825351026        0.4389017406893944        7.274702918783094         
13 May 2002 14:40:15.696   -6277.16998270672         -3483.314215081517        -357.7145240780515        -0.8628665767721501       0.8168972132258224        7.35273371722376          
13 May 2002 14:41:55.696   -6329.597061761494        -3383.066961803466        378.1644443921992         -0.1846852167708364       1.186273940690317         7.351628745279631         
13 May 2002 14:43:35.696   -6314.035083839951        -3246.480682698088        1109.970682277326         0.4956857852176913        1.54301859542743          7.271343687423321         
13 May 2002 14:45:15.696   -6230.63425825164         -3075.013775749876        1829.820583573307         1.170864040315155         1.883253416459683         7.112712393181272         
13 May 2002 14:46:55.696   -6080.281004071087        -2870.503724102652        2529.957483783715         1.833522225478328         2.20328201135324          6.8774376713939           
13 May 2002 14:48:35.696   -5864.588137473618        -2635.146778420279        3202.837602059256         2.476474028985987         2.499632523203636         6.568070195223499         
13 May 2002 14:50:15.696   -5585.876581462899        -2371.473484950664        3841.213306123249         3.092757459034654         2.769097398625181         6.187976127388251         
13 May 2002 14:51:55.696   -5247.14893526061         -2082.320432074952        4438.212613427731         3.675714072257698         3.008769132656672         5.74129439741768          
13 May 2002 14:53:35.696   -4852.05537347199         -1770.798641392864        4987.413951722448         4.21906290516128          3.216071533199            5.232884812216777         
13 May 2002 14:55:15.696   -4404.852455467998        -1440.259067955885        5482.915326010939         4.716968157488776         3.388786221549704         4.668268347807953         
13 May 2002 14:56:55.696   -3910.355505706727        -1094.255693366393        5919.397180355324         5.164099970414209         3.525074257905841         4.053561040225635         
13 May 2002 14:58:35.696   -3373.885276904754        -736.5066987055595        6292.178384584412         5.555687930946927         3.623492933949509         3.395402871257665         
13 May 2002 15:00:15.696   -2801.209633048158        -370.8541945375009        6597.264910339922         5.887567193892884         3.683007898204607         2.700882941463143         
13 May 2002 15:01:55.696   -2198.480986283259        -1.22296211402834         6831.390884604143         6.156217327463294         3.703000866478882         1.97746204909418          
13 May 2002 15:03:35.696   -1572.170205431475        368.4213663116749         6992.051808658013         6.358794134757599         3.683273212661777         1.232893583745441         
13 May 2002 15:05:15.696   -928.9976824213672        734.1142913292962         7077.529811319389         6.493154780590777         3.62404573706227          0.4751434137126923        
13 May 2002 15:06:55.696   -275.8622085406595        1091.934226164703         7086.910861866234         6.557876555621337         3.525954873013378         -0.2876907702230955       
13 May 2002 15:08:35.696   380.2317164244438         1438.04372622787          7020.093904669169         6.552269546345641         3.390045527175995         -1.047460367650018        
13 May 2002 15:10:15.696   1032.247544538426         1768.72983983872          6877.791899583915         6.476383365644207         3.217760665171864         -1.796046875251557        
13 May 2002 15:11:55.696   1673.190716745071         2080.443256261342         6661.524764660823         6.331007951380197         3.010927666313942         -2.525442868108694        
13 May 2002 15:13:35.696   2296.182478950637         2369.835926618729         6373.604230157127         6.117668286008939         2.771741391704645         -3.227832808922743        
13 May 2002 15:15:15.696   2894.532856556032         2633.796823920668         6017.110631713665         5.838612750496246         2.502743852214566         -3.895673433178203        
13 May 2002 15:16:55.696   3461.812133090195         2869.485495586737         5595.861702944114         5.49679472411753          2.206800336388451         -4.521773292281564        
13 May 2002 15:18:35.696   3991.920134679212         3074.363047077366         5114.373480865841         5.095846997949942         1.88707187157289          -5.099370824438585        
13 May 2002 15:20:15.696   4479.152582108152         3246.220186001735         4577.813510114726         4.640048593179755         1.546983943709616         -5.622210097559897        
13 May 2002 15:21:55.696   4918.263732273931         3383.20195149032          3991.94663101409          4.134283676473418         1.190191495577563         -6.084613144597182        
13 May 2002 15:23:35.696   5304.524509605247         3483.828762375589         3363.07375350968          3.583992436032847         0.8205403486920719        -6.48154762934694         
